generics,dosage_strengths,indications,instructions,warnings,_class_key
Triamcinolone Acetonide,0.1 gram,"ลดการอักเสบและอาการคัน ของโรคผิวหนังที่ตอบสนองต่อสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน, ผื่นแพ้",ยาสำหรับทาภายนอก : ทายาบางๆ เฉพาะบริเวณที่มีอาการ วันละ 2-3 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ และห้ามทาเป็นบริเวณกว้าง หากอาการไม่ดีขึ้นควรพบแพทย์,"การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง หรือเกิดรอยแตกได้ ห้ามใช้กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส เช่น เริม, หรือแผลเปิด ควรหลีกเลี่ยงการทาบริเวณใบหน้า, ผิวบอบบาง",triamcinolone acetonide
Triamcinolone Acetonide,0.1 ก.,"ลดการอักเสบและอาการคัน ของโรคผิวหนังที่ตอบสนองต่อสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน, ผื่นแพ้",ยาสำหรับทาภายนอก : ทายาบางๆ เฉพาะบริเวณที่มีอาการ วันละ 2-3 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ และห้ามทาเป็นบริเวณกว้าง หากอาการไม่ดีขึ้นควรพบแพทย์,"การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง หรือเกิดรอยแตกได้ ห้ามใช้กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส เช่น เริม, หรือแผลเปิด ควรหลีกเลี่ยงการทาบริเวณใบหน้า, ผิวบอบบาง",triamcinolone acetonide
Triamcinolone Acetonide,0.1 กรัม,"ลดการอักเสบและอาการคัน ของโรคผิวหนังที่ตอบสนองต่อสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน, ผื่นแพ้",ยาสำหรับทาภายนอก : ทายาบางๆ เฉพาะบริเวณที่มีอาการ วันละ 2-3 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ และห้ามทาเป็นบริเวณกว้าง หากอาการไม่ดีขึ้นควรพบแพทย์,"การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง หรือเกิดรอยแตกได้ ห้ามใช้กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส เช่น เริม, หรือแผลเปิด ควรหลีกเลี่ยงการทาบริเวณใบหน้า, ผิวบอบบาง",triamcinolone acetonide
Triamcinolone Acetonide,0.1,"ลดการอักเสบและอาการคัน ของโรคผิวหนังที่ตอบสนองต่อสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน, ผื่นแพ้",ยาสำหรับทาภายนอก : ทายาบางๆ เฉพาะบริเวณที่มีอาการ วันละ 2-3 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ และห้ามทาเป็นบริเวณกว้าง หากอาการไม่ดีขึ้นควรพบแพทย์,"การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง หรือเกิดรอยแตกได้ ห้ามใช้กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส เช่น เริม, หรือแผลเปิด ควรหลีกเลี่ยงการทาบริเวณใบหน้า, ผิวบอบบาง",triamcinolone acetonide
ไทรแอมซิโนโลน อะซีโตไนด์,0.1 g,"ลดการอักเสบและอาการคัน ของโรคผิวหนังที่ตอบสนองต่อสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน, ผื่นแพ้",ยาสำหรับทาภายนอก : ทายาบางๆ เฉพาะบริเวณที่มีอาการ วันละ 2-3 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ และห้ามทาเป็นบริเวณกว้าง หากอาการไม่ดีขึ้นควรพบแพทย์,"การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง หรือเกิดรอยแตกได้ ห้ามใช้กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส เช่น เริม, หรือแผลเปิด ควรหลีกเลี่ยงการทาบริเวณใบหน้า, ผิวบอบบาง",ไทรแอมซิโนโลน อะซีโตไนด์
ไทรแอมซิโนโลน อะซีโตไนด์,0.1 gram,"ลดการอักเสบและอาการคัน ของโรคผิวหนังที่ตอบสนองต่อสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน, ผื่นแพ้",ยาสำหรับทาภายนอก : ทายาบางๆ เฉพาะบริเวณที่มีอาการ วันละ 2-3 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ และห้ามทาเป็นบริเวณกว้าง หากอาการไม่ดีขึ้นควรพบแพทย์,"การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง หรือเกิดรอยแตกได้ ห้ามใช้กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส เช่น เริม, หรือแผลเปิด ควรหลีกเลี่ยงการทาบริเวณใบหน้า, ผิวบอบบาง",ไทรแอมซิโนโลน อะซีโตไนด์
ไทรแอมซิโนโลน อะซีโตไนด์,0.1 ก.,"ลดการอักเสบและอาการคัน ของโรคผิวหนังที่ตอบสนองต่อสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน, ผื่นแพ้",ยาสำหรับทาภายนอก : ทายาบางๆ เฉพาะบริเวณที่มีอาการ วันละ 2-3 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ และห้ามทาเป็นบริเวณกว้าง หากอาการไม่ดีขึ้นควรพบแพทย์,"การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง หรือเกิดรอยแตกได้ ห้ามใช้กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส เช่น เริม, หรือแผลเปิด ควรหลีกเลี่ยงการทาบริเวณใบหน้า, ผิวบอบบาง",ไทรแอมซิโนโลน อะซีโตไนด์
ไทรแอมซิโนโลน อะซีโตไนด์,0.1 กรัม,"ลดการอักเสบและอาการคัน ของโรคผิวหนังที่ตอบสนองต่อสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน, ผื่นแพ้",ยาสำหรับทาภายนอก : ทายาบางๆ เฉพาะบริเวณที่มีอาการ วันละ 2-3 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ และห้ามทาเป็นบริเวณกว้าง หากอาการไม่ดีขึ้นควรพบแพทย์,"การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง หรือเกิดรอยแตกได้ ห้ามใช้กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส เช่น เริม, หรือแผลเปิด ควรหลีกเลี่ยงการทาบริเวณใบหน้า, ผิวบอบบาง",ไทรแอมซิโนโลน อะซีโตไนด์
ไทรแอมซิโนโลน อะซีโตไนด์,0.1,"ลดการอักเสบและอาการคัน ของโรคผิวหนังที่ตอบสนองต่อสเตียรอยด์ เช่น โรคผิวหนังอักเสบ (Eczema), โรคสะเก็ดเงิน, ผื่นแพ้",ยาสำหรับทาภายนอก : ทายาบางๆ เฉพาะบริเวณที่มีอาการ วันละ 2-3 ครั้ง ไม่ควรใช้ติดต่อกันเกิน 2 สัปดาห์ และห้ามทาเป็นบริเวณกว้าง หากอาการไม่ดีขึ้นควรพบแพทย์,"การใช้ยาเป็นเวลานานอาจทำให้ ผิวบาง หรือเกิดรอยแตกได้ ห้ามใช้กับผิวหนังที่มีการติดเชื้อรา, เชื้อไวรัส เช่น เริม, หรือแผลเปิด ควรหลีกเลี่ยงการทาบริเวณใบหน้า, ผิวบอบบาง",ไทรแอมซิโนโลน อะซีโตไนด์
Triamcinolone Acetonide,0.001,ลดการอักเสบและบรรเทาอาการเจ็บ จาก แผลในปาก ร้อนใน หรือแผลที่เกิดจากการระคายเคืองในช่องปาก,ยาสำหรับป้ายในช่องปาก ป้ายยาบางๆ เฉพาะบริเวณที่เป็นแผล วันละ 2-3 ครั้ง หลังอาหารและก่อนนอน ไม่ควรใช้ติดต่อกันเกิน 7 วัน หลังป้ายยาควรงดน้ำและอาหารอย่างน้อย 30 นาที,สำหรับ ใช้ในช่องปากเท่านั้น ห้ามกลืนยา ห้ามใช้กับแผลในปากที่เกิดจากการติดเชื้อไวรัส (เช่น เริม) หรือเชื้อรา,triamcinolone acetonide
ไทรแอมซิโนโลน อะซีโตไนด์,0.001,ลดการอักเสบและบรรเทาอาการเจ็บ จาก แผลในปาก ร้อนใน หรือแผลที่เกิดจากการระคายเคืองในช่องปาก,ยาสำหรับป้ายในช่องปาก ป้ายยาบางๆ เฉพาะบริเวณที่เป็นแผล วันละ 2-3 ครั้ง หลังอาหารและก่อนนอน ไม่ควรใช้ติดต่อกันเกิน 7 วัน หลังป้ายยาควรงดน้ำและอาหารอย่างน้อย 30 นาที,สำหรับ ใช้ในช่องปากเท่านั้น ห้ามกลืนยา ห้ามใช้กับแผลในปากที่เกิดจากการติดเชื้อไวรัส (เช่น เริม) หรือเชื้อรา,ไทรแอมซิโนโลน อะซีโตไนด์
Triamcinolone Acetonide,0.1,ลดการอักเสบและบรรเทาอาการเจ็บ จาก แผลในปาก ร้อนใน หรือแผลที่เกิดจากการระคายเคืองในช่องปาก,ยาสำหรับป้ายในช่องปาก ป้ายยาบางๆ เฉพาะบริเวณที่เป็นแผล วันละ 2-3 ครั้ง หลังอาหารและก่อนนอน ไม่ควรใช้ติดต่อกันเกิน 7 วัน หลังป้ายยาควรงดน้ำและอาหารอย่างน้อย 30 นาที,สำหรับ ใช้ในช่องปากเท่านั้น ห้ามกลืนยา ห้ามใช้กับแผลในปากที่เกิดจากการติดเชื้อไวรัส (เช่น เริม) หรือเชื้อรา,triamcinolone acetonide
ไทรแอมซิโนโลน อะซีโตไนด์,0.1,ลดการอักเสบและบรรเทาอาการเจ็บ จาก แผลในปาก ร้อนใน หรือแผลที่เกิดจากการระคายเคืองในช่องปาก,ยาสำหรับป้ายในช่องปาก ป้ายยาบางๆ เฉพาะบริเวณที่เป็นแผล วันละ 2-3 ครั้ง หลังอาหารและก่อนนอน ไม่ควรใช้ติดต่อกันเกิน 7 วัน หลังป้ายยาควรงดน้ำและอาหารอย่างน้อย 30 นาที,สำหรับ ใช้ในช่องปากเท่านั้น ห้ามกลืนยา ห้ามใช้กับแผลในปากที่เกิดจากการติดเชื้อไวรัส (เช่น เริม) หรือเชื้อรา,ไทรแอมซิโนโลน อะซีโตไนด์
Benzoyl Peroxide,0.025,รักษาสิวอักเสบและสิวอุดตัน โดยช่วยฆ่าเชื้อแบคทีเรีย P. acnes ที่เป็นสาเหตุของสิว และช่วยผลัดเซลล์ผิวเพื่อลดการอุดตัน,ยาสำหรับทาภายนอก ทายาบางๆ เฉพาะบริเวณที่เป็นสิว : วันละ 1 ครั้ง ก่อนนอน หากไม่เกิดการระคายเคือง อาจเพิ่มเป็น วันละ 2 ครั้ง เช้า-เย็น,"ยาอาจทำให้ผิว แห้ง, แดง, ลอก, หรือแสบ ได้ในช่วงแรกของการใช้ ซึ่งเป็นอาการที่พบได้ทั่วไป ยาทำให้ผิวไวต่อแสงแดด ควร ทาครีมกันแดด เป็นประจำทุกวัน สำหรับใช้ภายนอกเท่านั้น ห้ามรับประทาน",benzoyl peroxide
Benzoyl Peroxide,0.025,รักษาสิวอักเสบและสิวอุดตัน โดยช่วยฆ่าเชื้อแบคทีเรีย P. acnes ที่เป็นสาเหตุของสิว และช่วยผลัดเซลล์ผิวเพื่อลดการอุดตัน,ยาสำหรับทาภายนอก ทายาบางๆ เฉพาะบริเวณที่เป็นสิว : วันละ 1 ครั้ง ก่อนนอน หากไม่เกิดการระคายเคือง อาจเพิ่มเป็น วันละ 2 ครั้ง เช้า-เย็น,"ยาอาจทำให้ผิว แห้ง, แดง, ลอก, หรือแสบ ได้ในช่วงแรกของการใช้ ซึ่งเป็นอาการที่พบได้ทั่วไป ยาทำให้ผิวไวต่อแสงแดด ควร ทาครีมกันแดด เป็นประจำทุกวัน สำหรับใช้ภายนอกเท่านั้น ห้ามรับประทาน",benzoyl peroxide
เบนโซอิล เพอร็อกไซด์,2.5,รักษาสิวอักเสบและสิวอุดตัน โดยช่วยฆ่าเชื้อแบคทีเรีย P. acnes ที่เป็นสาเหตุของสิว และช่วยผลัดเซลล์ผิวเพื่อลดการอุดตัน,ยาสำหรับทาภายนอก ทายาบางๆ เฉพาะบริเวณที่เป็นสิว : วันละ 1 ครั้ง ก่อนนอน หากไม่เกิดการระคายเคือง อาจเพิ่มเป็น วันละ 2 ครั้ง เช้า-เย็น,"ยาอาจทำให้ผิว แห้ง, แดง, ลอก, หรือแสบ ได้ในช่วงแรกของการใช้ ซึ่งเป็นอาการที่พบได้ทั่วไป ยาทำให้ผิวไวต่อแสงแดด ควร ทาครีมกันแดด เป็นประจำทุกวัน สำหรับใช้ภายนอกเท่านั้น ห้ามรับประทาน",เบนโซอิล เพอร็อกไซด์
เบนโซอิล เพอร็อกไซด์,2.5,รักษาสิวอักเสบและสิวอุดตัน โดยช่วยฆ่าเชื้อแบคทีเรีย P. acnes ที่เป็นสาเหตุของสิว และช่วยผลัดเซลล์ผิวเพื่อลดการอุดตัน,ยาสำหรับทาภายนอก ทายาบางๆ เฉพาะบริเวณที่เป็นสิว : วันละ 1 ครั้ง ก่อนนอน หากไม่เกิดการระคายเคือง อาจเพิ่มเป็น วันละ 2 ครั้ง เช้า-เย็น,"ยาอาจทำให้ผิว แห้ง, แดง, ลอก, หรือแสบ ได้ในช่วงแรกของการใช้ ซึ่งเป็นอาการที่พบได้ทั่วไป ยาทำให้ผิวไวต่อแสงแดด ควร ทาครีมกันแดด เป็นประจำทุกวัน สำหรับใช้ภายนอกเท่านั้น ห้ามรับประทาน",เบนโซอิล เพอร็อกไซด์
Etoricoxib,90 mg,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",etoricoxib
Etoricoxib,90 milligram,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",etoricoxib
Etoricoxib,90 มก.,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",etoricoxib
Etoricoxib,90 มิลลิกรัม,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",etoricoxib
Etoricoxib,90,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",etoricoxib
อีโทริคอกซิบ,90 mg,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",อีโทริคอกซิบ
อีโทริคอกซิบ,90 milligram,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",อีโทริคอกซิบ
อีโทริคอกซิบ,90 มก.,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",อีโทริคอกซิบ
อีโทริคอกซิบ,90 มิลลิกรัม,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",อีโทริคอกซิบ
อีโทริคอกซิบ,90,"รักษาอาการปวดและอักเสบเฉียบพลัน เช่น ข้อเสื่อม, อาการปวดหลังผ่าตัด, ข้ออักเสบรูมาตอยด์, หรือข้อสันหลังอักเสบ",กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง ต้องใช้ยาในขนาดต่ำที่สุดและระยะเวลาสั้นที่สุดที่ยังควบคุมอาการได้ ตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",อีโทริคอกซิบ
Etoricoxib,120 mg,รักษา อาการปวดรุนแรงเฉียบพลันจากโรคเกาต์,กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง จะใช้ใน ระยะเวลาสั้นๆ (ไม่เกิน 8 วัน) และตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",etoricoxib
Etoricoxib,120 milligram,รักษา อาการปวดรุนแรงเฉียบพลันจากโรคเกาต์,กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง จะใช้ใน ระยะเวลาสั้นๆ (ไม่เกิน 8 วัน) และตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",etoricoxib
Etoricoxib,120 มก.,รักษา อาการปวดรุนแรงเฉียบพลันจากโรคเกาต์,กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง จะใช้ใน ระยะเวลาสั้นๆ (ไม่เกิน 8 วัน) และตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",etoricoxib
Etoricoxib,120 มิลลิกรัม,รักษา อาการปวดรุนแรงเฉียบพลันจากโรคเกาต์,กินหลังอาหารทันทีเพื่อลดการระคายเคืองกระเพาะ : กินยา วันละ 1 ครั้ง จะใช้ใน ระยะเวลาสั้นๆ (ไม่เกิน 8 วัน) และตามที่แพทย์สั่งอย่างเคร่งครัด ห้ามปรับขนาดยาเอง,"ยานี้เพิ่มความเสี่ยงต่อการเกิดโรคหลอดเลือดหัวใจและสมอง เช่น กล้ามเนื้อหัวใจขาดเลือด, อัมพาต ห้ามใช้ ในผู้ป่วยโรคหัวใจและหลอดเลือด อาจทำให้เกิดแผลหรือเลือดออกในกระเพาะอาหารได้ อาจทำให้ความดันโลหิตสูงขึ้น ผู้ป่วยโรคตับหรือโรคไต ควรใช้ยาด้วยความระมัดระวังสูงสุด",etoricoxib
