generics,dosage_strengths,indications,instructions,warnings
นาพรอกเซน,250,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Naproxen Sodium,275,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
นาพรอกเซน โซเดียม,275,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน","ทุก 6-8 ชั่วโมงตามต้องการ ไม่เกิน 1,375 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Naproxen,500 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
นาพรอกเซน,500 mg,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Naproxen,500 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
นาพรอกเซน,500 milligram,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Naproxen,500 มก.,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
นาพรอกเซน,500 มก.,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Naproxen,500 มิลลิกรัม,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
นาพรอกเซน, 500 มิลลิกรัม,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Naproxen,500,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
นาพรอกเซน,500,"ข้ออักเสบ/ปวดเรื้อรัง, ปวดเฉียบพลัน/ปวดประจำเดือน"," 2 ครั้ง/วัน (เช้า-เย็น) ไม่เกิน 1,500 mg./วัน","ความเสี่ยงต่อหัวใจและหลอดเลือด ห้ามใช้ยานี้หลังการผ่าตัดบายพาสหัวใจ (CABG), ความเสี่ยงต่อทางเดินอาหาร เลือดออกในกระเพาะอาหาร/ลำไส้ หรือ แผลทะลุ"
Allopurinol,300 mg,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
อัลโลพูรินอล,300 mg,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
Allopurinol,300 milligram,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
อัลโลพูรินอล,300 milligram,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
Allopurinol,300 มก.,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
อัลโลพูรินอล,300 มก.,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
Allopurinol,300 มิลลิกรัม,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
อัลโลพูรินอล,300 มิลลิกรัม,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
Allopurinol,300,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
อัลโลพูรินอล,300,"รักษาโรคเกาต์เรื้อรัง (Chronic Gout), ภาวะกรดยูริกในเลือดสูง (Hyperuricemia), โรคนิ่วในไต (Kidney Stones)",รับประทานยาหลังอาหารทันที เพื่อลดการระคายเคืองกระเพาะอาหาร : วันละ 1 ครั้ง,ยานี้อาจทำให้เกิดการแพ้ที่รุนแรงทางผิวหนังได้ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง ทางระบบทางเดินอาหาร คลื่นไส้ อาเจียน ท้องเสีย อาการทางงระบบประสาท อาการง่วงซึม เวียนศีรษะ ควรหลีกเลี่ยงการขับขี่รถยนต์หรือทำงานกับเครื่องจักรที่ต้องใช้ความระมัดระวัง
Isosorbide dinitrate,5 mg,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,อาจทำให้เกิดอาการข้างเคียง เช่น ปวดศีรษะ หน้ามืด วิงเวียน ความดันโลหิตต่ำ หน้าแดง ร้อนวูบวาบ ใจสั่น ลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ ยานี้อาจทำให้ง่วงซึมหรือวิงเวียนศีรษะ ควรหลีกเลี่ยงการขับขี่ยานพาหนะหรือทำงานเกี่ยวกับเครื่องจักร
ไอโซซอร์ไบด์ ไดไนเตรต,5 mg,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,อาจทำให้เกิดอาการข้างเคียง เช่น ปวดศีรษะ หน้ามืด วิงเวียน ความดันโลหิตต่ำ หน้าแดง ร้อนวูบวาบ ใจสั่น ลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ ยานี้อาจทำให้ง่วงซึมหรือวิงเวียนศีรษะ ควรหลีกเลี่ยงการขับขี่ยานพาหนะหรือทำงานเกี่ยวกับเครื่องจักร
Isosorbide dinitrate,5 milligram,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,อาจทำให้เกิดอาการข้างเคียง เช่น ปวดศีรษะ หน้ามืด วิงเวียน ความดันโลหิตต่ำ หน้าแดง ร้อนวูบวาบ ใจสั่น ลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ ยานี้อาจทำให้ง่วงซึมหรือวิงเวียนศีรษะ ควรหลีกเลี่ยงการขับขี่ยานพาหนะหรือทำงานเกี่ยวกับเครื่องจักร
ไอโซซอร์ไบด์ ไดไนเตรต,5 milligram,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,อาจทำให้เกิดอาการข้างเคียง เช่น ปวดศีรษะ หน้ามืด วิงเวียน ความดันโลหิตต่ำ หน้าแดง ร้อนวูบวาบ ใจสั่น ลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ ยานี้อาจทำให้ง่วงซึมหรือวิงเวียนศีรษะ ควรหลีกเลี่ยงการขับขี่ยานพาหนะหรือทำงานเกี่ยวกับเครื่องจักร
Isosorbide dinitrate,5 มก.,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,อาจทำให้เกิดอาการข้างเคียง เช่น ปวดศีรษะ หน้ามืด วิงเวียน ความดันโลหิตต่ำ หน้าแดง ร้อนวูบวาบ ใจสั่น ลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ ยานี้อาจทำให้ง่วงซึมหรือวิงเวียนศีรษะ ควรหลีกเลี่ยงการขับขี่ยานพาหนะหรือทำงานเกี่ยวกับเครื่องจักร
ไอโซซอร์ไบด์ ไดไนเตรต,5 มก.,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,อาจทำให้เกิดอาการข้างเคียง เช่น ปวดศีรษะ หน้ามืด วิงเวียน ความดันโลหิตต่ำ หน้าแดง ร้อนวูบวาบ ใจสั่น ลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ ยานี้อาจทำให้ง่วงซึมหรือวิงเวียนศีรษะ ควรหลีกเลี่ยงการขับขี่ยานพาหนะหรือทำงานเกี่ยวกับเครื่องจักร
Isosorbide dinitrate,5 มิลลิกรัม,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,อาจทำให้เกิดอาการข้างเคียง เช่น ปวดศีรษะ หน้ามืด วิงเวียน ความดันโลหิตต่ำ หน้าแดง ร้อนวูบวาบ ใจสั่น ลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ ยานี้อาจทำให้ง่วงซึมหรือวิงเวียนศีรษะ ควรหลีกเลี่ยงการขับขี่ยานพาหนะหรือทำงานเกี่ยวกับเครื่องจักร
ไอโซซอร์ไบด์ ไดไนเตรต,5 มิลลิกรัม,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,อาจทำให้เกิดอาการข้างเคียง เช่น ปวดศีรษะ หน้ามืด วิงเวียน ความดันโลหิตต่ำ หน้าแดง ร้อนวูบวาบ ใจสั่น ลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ ยานี้อาจทำให้ง่วงซึมหรือวิงเวียนศีรษะ ควรหลีกเลี่ยงการขับขี่ยานพาหนะหรือทำงานเกี่ยวกับเครื่องจักร
Isosorbide dinitrate,5,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,อาจทำให้เกิดอาการข้างเคียง เช่น ปวดศีรษะ หน้ามืด วิงเวียน ความดันโลหิตต่ำ หน้าแดง ร้อนวูบวาบ ใจสั่น ลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ ยานี้อาจทำให้ง่วงซึมหรือวิงเวียนศีรษะ ควรหลีกเลี่ยงการขับขี่ยานพาหนะหรือทำงานเกี่ยวกับเครื่องจักร
ไอโซซอร์ไบด์ ไดไนเตรต,5,"บรรเทาอาการเจ็บแน่นหน้าอกเฉียบพลัน (Angina Pectoris), ป้องกันอาการเจ็บแน่นหน้าอก",ให้อมยา 1 เม็ดใต้ลิ้น ประมาณ 5-10 นาทีก่อนทำกิจกรรมที่อาจกระตุ้นให้เกิดอาการ  เมื่อมีอาการเจ็บแน่นหน้าอก อมยา 1 เม็ดไว้ใต้ลิ้น ห้ามรับประทานอาหารหรือดื่มน้ำขณะที่ยายังละลายไม่หมด หากอาการไม่ดีขึ้นหลังจากอมเม็ดแรกไปแล้ว 5 นาที ให้อมเม็ดที่ 2 หากอาการไม่ดีขึ้นในอีก 5 นาที ให้อมเม็ดที่ 3 และรีบไปโรงพยาบาล ,
Glipizide,5 mg,ใช้สำหรับรักษาโรคเบาหวานชนิดที่ 2 (Type 2 Diabetes Mellitus) ใช้สำหรับผู้ป่วยที่ไม่สามารถควบคุมระดับน้ำตาลในเลือดได้ด้วยการควบคุมอาหารและการออกกำลังกายเพียงอย่างเดียว โดยยาจะช่วยลดระดับน้ำตาลในเลือดให้อยู่ในเกณฑ์ที่เหมาะสม,"ชนิดออกฤทธิ์ทันที(Immediate-release): ให้รับประทานยาก่อนอาหาร 30 นาที เพื่อให้ยาออกฤทธิ์กระตุ้นการหลั่งอินซูลินได้ทันกับระดับน้ำตาลในเลือดที่จะสูงขึ้นหลังมื้ออาหาร, ชนิดออกฤทธิ์เนิ่น(Extended-release/GITS): ให้รับประทานยา พร้อมอาหารมื้อเช้า และต้องกลืนยาทั้งเม็ด ห้าม บด เคี้ยว หรือหักแบ่งยา",ภาวะน้ำตาลในเลือดต่ำ (Hypoglycemia) ควรพกของหวานติดตัว งดการดื่มเครื่องดื่มแอลกอฮอล์ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง
ไกลพิไซด์,5 mg,ใช้สำหรับรักษาโรคเบาหวานชนิดที่ 2 (Type 2 Diabetes Mellitus) ใช้สำหรับผู้ป่วยที่ไม่สามารถควบคุมระดับน้ำตาลในเลือดได้ด้วยการควบคุมอาหารและการออกกำลังกายเพียงอย่างเดียว โดยยาจะช่วยลดระดับน้ำตาลในเลือดให้อยู่ในเกณฑ์ที่เหมาะสม,"ชนิดออกฤทธิ์ทันที(Immediate-release): ให้รับประทานยาก่อนอาหาร 30 นาที เพื่อให้ยาออกฤทธิ์กระตุ้นการหลั่งอินซูลินได้ทันกับระดับน้ำตาลในเลือดที่จะสูงขึ้นหลังมื้ออาหาร, ชนิดออกฤทธิ์เนิ่น(Extended-release/GITS): ให้รับประทานยา พร้อมอาหารมื้อเช้า และต้องกลืนยาทั้งเม็ด ห้าม บด เคี้ยว หรือหักแบ่งยา",ภาวะน้ำตาลในเลือดต่ำ (Hypoglycemia) ควรพกของหวานติดตัว งดการดื่มเครื่องดื่มแอลกอฮอล์ ผู้ที่มีการทำงานของไตหรือตับบกพร่องต้องใช้ยาอย่างระมัดระวัง
